Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Age,Customer_Tenure,Education_ord,Marital_Status_Simple,Total_Spend,Total_Campaign_Accepted,Total_Children,Has_Partner,Family_Size,Total_Purchases,Spend_per_Purchase,Income_to_Spend_Ratio,Digital_Engagement,Store_vs_Web,Spending_Diversity,Days_per_Purchase,Campaign_Response_Rate,Cluster,Segment_Name,Primary_Channel,Offer_Type,Contact_Frequency
Graduation,Single,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,1,69,4867,3,Single,1617,1,0,0,1,25,62.19230769230769,0.027812655876434063,15,0.4444444444444444,6,187.19230769230768,0.16666666666666666,0,Budget-Conscious Educated,"Email, Newsletter",Discount & Value Bundles,Monthly
Graduation,Single,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,72,4317,3,Single,27,0,2,0,3,6,3.857142857142857,0.0005825871183514943,6,1.0,6,616.7142857142857,0.0,3,Traditional Price-Sensitive,"SMS, In-store Signage",Clear Price Discounts,Event-based (seasonal)
Graduation,Together,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,61,4516,3,Partner,776,0,0,1,2,21,35.27272727272727,0.010835870081269025,12,1.1111111111111112,6,205.27272727272728,0.0,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
Graduation,Together,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,42,4343,3,Partner,53,0,1,1,3,8,5.888888888888889,0.0019889668630615077,8,1.3333333333333333,6,482.55555555555554,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
PhD,Married,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,45,4365,5,Partner,422,0,1,1,3,19,21.1,0.007239166981164442,10,1.0,6,218.25,0.0,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
Master,Together,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,59,4497,4,Partner,716,0,1,1,3,22,31.130434782608695,0.011453434430687526,12,1.4285714285714286,5,195.52173913043478,0.0,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
Graduation,Divorced,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,55,4797,3,Single,590,0,1,0,2,21,26.818181818181817,0.010604644474800489,13,0.875,6,218.04545454545453,0.0,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
PhD,Married,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,41,4621,5,Partner,169,0,1,1,3,10,15.363636363636363,0.005051561799432073,12,0.8,6,420.09090909090907,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
PhD,Together,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,1,52,4592,5,Partner,46,1,1,1,3,6,6.571428571428571,0.0015155508697944123,12,0.5,5,656.0,0.16666666666666666,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
PhD,Together,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,76,4312,5,Partner,49,1,2,1,4,2,16.333333333333332,0.008674101610904586,21,0.0,5,1437.3333333333333,0.16666666666666666,3,Traditional Price-Sensitive,"SMS, In-store Signage",Clear Price Discounts,Event-based (seasonal)
Graduation,Married,52028.5,1,0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,43,4430,3,Partner,19,0,1,1,3,4,3.8,,8,1.0,5,886.0,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
Basic,Married,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,50,4797,1,Partner,61,0,0,1,2,6,8.714285714285714,0.008132249033462205,10,1.0,6,685.2857142857143,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
Graduation,Divorced,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,67,4430,3,Single,1102,0,0,0,1,16,64.82352941176471,0.017482628422755973,5,2.0,6,260.5882352941176,0.0,0,Budget-Conscious Educated,"Email, Newsletter",Discount & Value Bundles,Monthly
Master,Divorced,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,74,4430,4,Single,310,0,2,0,3,15,19.375,0.005222811894532896,12,0.7142857142857143,6,276.875,0.0,3,Traditional Price-Sensitive,"SMS, In-store Signage",Clear Price Discounts,Event-based (seasonal)
Graduation,Married,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,39,4831,3,Partner,46,0,0,1,2,5,7.666666666666667,0.0026552759178018934,9,1.5,6,805.1666666666666,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
PhD,Single,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,1,80,4786,5,Single,1315,3,0,0,1,26,48.7037037037037,0.015881450707117065,10,1.5,6,177.25925925925927,0.5,0,Budget-Conscious Educated,"Email, Newsletter",Discount & Value Bundles,Monthly
Graduation,Married,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,46,4756,3,Partner,96,0,2,1,4,9,9.6,0.002293851998757497,11,0.75,6,475.6,0.0,3,Traditional Price-Sensitive,"SMS, In-store Signage",Clear Price Discounts,Event-based (seasonal)
Graduation,Together,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,80,4871,3,Partner,317,0,0,1,2,13,22.642857142857142,0.008394904795953497,11,1.2,6,347.92857142857144,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
Master,Married,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,77,4662,4,Partner,1782,1,1,1,3,26,66.0,0.023144059431658787,16,0.75,5,172.66666666666666,0.16666666666666666,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
2n Cycle,Single,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,41,4807,2,Single,133,0,1,0,2,8,14.777777777777779,0.003933398397066217,8,1.0,6,534.1111111111111,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
